NOTA_CN;NOTA_CH;NOTA_LC;NOTA_MT;NOTA_COMP1;NOTA_COMP2;NOTA_COMP3;NOTA_COMP4;NOTA_COMP5;NOTA_REDACAO
346.8;411.0;471.3;554.6;140.0;120.0;120.0;180.0;140.0;700.0
480.7;584.3;549.2;631.7;140.0;120.0;140.0;160.0;160.0;720.0
513.5;555.3;564.6;458.9;120.0;160.0;120.0;120.0;140.0;660.0
437.0;513.6;472.4;580.6;100.0;120.0;120.0;120.0;80.0;540.0
539.6;544.9;462.7;690.4;160.0;200.0;160.0;200.0;160.0;880.0
499.8;592.6;607.7;608.6;160.0;200.0;160.0;200.0;200.0;920.0
406.5;512.2;494.8;587.4;160.0;200.0;180.0;200.0;180.0;920.0
486.4;481.8;395.3;406.7;100.0;160.0;120.0;140.0;200.0;720.0
637.0;678.8;650.9;829.9;160.0;180.0;140.0;140.0;160.0;780.0
569.1;587.0;575.5;780.4;160.0;200.0;160.0;200.0;200.0;920.0
559.4;676.6;583.8;821.3;120.0;120.0;100.0;120.0;180.0;640.0
452.26075329735056;456.9;432.6;469.01448511036074;0.0;0.0;0.0;0.0;0.0;0.0
357.0;465.7;316.8;414.4;120.0;120.0;80.0;120.0;60.0;500.0
382.7;553.4;572.7;560.3;100.0;40.0;100.0;120.0;120.0;480.0
514.1;542.7;545.1;569.4;120.0;120.0;120.0;120.0;120.0;600.0
511.7;694.4;608.0;700.4;160.0;200.0;200.0;180.0;180.0;920.0
506.1;525.8;460.1;356.6;120.0;160.0;120.0;120.0;180.0;700.0
390.11583554045103;390.4;370.6;412.7879060169403;60.0;100.0;40.0;80.0;20.0;300.0
432.4131406332021;504.4;573.1;561.786085499753;120.0;160.0;120.0;80.0;80.0;560.0
428.4;348.1;375.7;440.3;120.0;120.0;100.0;100.0;80.0;520.0
580.7;664.6;657.2;658.3;160.0;200.0;160.0;180.0;180.0;880.0
580.7;592.0;533.1;553.7;120.0;200.0;120.0;160.0;200.0;800.0
469.6429039621687;601.9;483.8;586.9065860094031;120.0;160.0;120.0;120.0;120.0;640.0
432.8;392.0;442.6;484.5;0.0;0.0;0.0;0.0;0.0;0.0
432.9;536.8;469.0;408.0;100.0;140.0;100.0;120.0;120.0;580.0
510.5;544.6;580.9;494.0;100.0;180.0;120.0;120.0;80.0;600.0
364.8;381.5;405.9;554.3;160.0;200.0;180.0;200.0;160.0;900.0
455.3;406.0;349.1;444.0;80.0;120.0;80.0;120.0;120.0;520.0
468.3;385.0;385.3;423.2;80.0;40.0;40.0;100.0;40.0;300.0
543.2;544.5;565.8;465.0;120.0;140.0;120.0;140.0;140.0;660.0
450.9;544.5;518.9;602.4;140.0;200.0;140.0;120.0;160.0;760.0
499.8;508.6;547.5;474.4;160.0;200.0;140.0;180.0;160.0;840.0
428.6;481.9;502.7;466.1;120.0;120.0;100.0;120.0;140.0;600.0
527.3;542.9;530.2;517.2;120.0;180.0;120.0;140.0;140.0;700.0
420.1;457.3;488.6;418.9;120.0;120.0;120.0;140.0;140.0;640.0
519.8;597.3;540.6;643.6;140.0;180.0;140.0;160.0;160.0;780.0
467.3;519.5;545.6;457.9;100.0;120.0;120.0;100.0;80.0;520.0
514.7;513.3;456.1;559.6;160.0;120.0;80.0;120.0;160.0;640.0
529.5;601.0;448.0;626.6;120.0;200.0;120.0;160.0;180.0;780.0
372.0;404.2;421.8;490.4;60.0;120.0;80.0;100.0;0.0;360.0
552.1;357.1;544.8;592.3;100.0;200.0;160.0;200.0;200.0;860.0
537.2;643.3;574.5;470.1;120.0;120.0;120.0;120.0;80.0;560.0
444.0;575.2;551.5;629.1;120.0;120.0;120.0;120.0;160.0;640.0
530.1;528.2;532.3;521.6;100.0;200.0;100.0;120.0;140.0;660.0
505.1;503.5;491.5;595.6;120.0;120.0;120.0;120.0;120.0;600.0
403.6;451.8;470.8;404.6;120.0;120.0;100.0;120.0;20.0;480.0
517.2;561.1;467.2;553.9;100.0;160.0;100.0;120.0;180.0;660.0
403.6;511.7;452.9;459.7;80.0;80.0;80.0;80.0;160.0;480.0
468.6;426.7;416.0;440.1;100.0;40.0;40.0;120.0;40.0;340.0
441.8;575.1;509.5;477.3;140.0;120.0;100.0;100.0;140.0;600.0
573.8;573.6;540.4;533.7;140.0;120.0;140.0;160.0;200.0;760.0
453.3;399.1;335.9;458.7;100.0;40.0;40.0;100.0;40.0;320.0
408.3793683943966;417.0;405.6;423.9817610399942;120.0;120.0;100.0;120.0;0.0;460.0
440.2;339.3;563.6;602.4;140.0;200.0;160.0;180.0;200.0;880.0
406.28137888069693;402.2;386.9;476.8743083326855;80.0;120.0;80.0;120.0;80.0;480.0
489.3;485.3;401.0;491.7;160.0;200.0;180.0;180.0;200.0;920.0
467.65443642469586;358.9;424.4;471.52770871368;100.0;120.0;120.0;140.0;120.0;600.0
407.3;433.5;515.2;431.4;80.0;120.0;80.0;100.0;0.0;380.0
679.0;682.8;578.1;759.3;160.0;160.0;160.0;200.0;200.0;880.0
511.0;571.6;469.4;511.8;120.0;140.0;120.0;100.0;120.0;600.0
420.8613169274818;438.3;430.1;550.2440097969161;120.0;120.0;120.0;120.0;100.0;580.0
536.5;542.4;519.9;667.8;120.0;120.0;120.0;120.0;20.0;500.0
432.0;567.1;518.0;562.3;120.0;200.0;140.0;120.0;180.0;760.0
427.2;479.1;396.9;468.7;120.0;120.0;100.0;120.0;120.0;580.0
569.0;609.6;627.5;615.0;140.0;180.0;120.0;140.0;100.0;680.0
472.0806784041422;485.9;513.1;542.6817038403376;100.0;120.0;100.0;100.0;0.0;420.0
608.2;681.9;594.7;452.1;160.0;200.0;180.0;200.0;180.0;920.0
398.6;507.2;346.4;428.7;100.0;120.0;100.0;120.0;100.0;540.0
416.4;339.4;506.9;415.2;140.0;120.0;100.0;100.0;100.0;560.0
443.31102263645414;0.0;0.0;433.6738031568483;120.0;120.0;120.0;120.0;140.0;620.0
401.93528132896967;368.0;402.2;447.0477536828201;100.0;120.0;100.0;120.0;100.0;540.0
361.4;408.7;396.5;390.8;100.0;120.0;100.0;120.0;80.0;520.0
410.8;492.4;408.8;387.5;120.0;120.0;120.0;120.0;100.0;580.0
455.3;566.0;532.3;630.3;140.0;200.0;120.0;120.0;100.0;680.0
493.8;553.4;548.1;669.0;120.0;120.0;120.0;120.0;140.0;620.0
518.0;468.2;565.3;526.6;100.0;120.0;120.0;120.0;120.0;580.0
433.3399411627754;429.0;374.2;461.50809956273747;100.0;160.0;120.0;120.0;0.0;500.0
406.9;524.5;399.2;442.2;100.0;120.0;100.0;120.0;60.0;500.0
395.88819976374526;416.1;400.7;400.394522705412;0.0;0.0;0.0;0.0;0.0;0.0
436.3;552.0;550.7;569.6;120.0;120.0;100.0;120.0;140.0;600.0
458.39942548376894;523.3;413.6;529.5479514774577;120.0;120.0;120.0;140.0;120.0;620.0
525.0;583.7;511.8;437.5;140.0;200.0;160.0;160.0;140.0;800.0
587.9;526.4;537.8;671.7;120.0;120.0;140.0;120.0;100.0;600.0
427.8;501.0;520.7;472.6;80.0;120.0;100.0;80.0;120.0;500.0
445.6660351822078;444.9;395.2;437.57521199088836;0.0;0.0;0.0;0.0;0.0;0.0
619.6;500.1;536.3;645.0;120.0;180.0;120.0;120.0;100.0;640.0
460.9;375.7;454.6;374.2;120.0;120.0;120.0;120.0;100.0;580.0
516.0;572.6;505.9;484.0;140.0;120.0;120.0;160.0;140.0;680.0
466.2;443.3;471.7;542.0;120.0;120.0;100.0;100.0;140.0;580.0
570.4;604.9;558.3;687.0;140.0;180.0;140.0;140.0;160.0;760.0
384.5;409.5;387.9;425.1;60.0;120.0;80.0;100.0;120.0;480.0
433.3;428.7;452.0;409.1;100.0;100.0;80.0;80.0;0.0;360.0
575.5;624.4;572.7;569.8;160.0;200.0;140.0;160.0;160.0;820.0
485.2;495.9;537.7;524.6;120.0;120.0;100.0;100.0;0.0;440.0
695.8;674.7;589.6;806.4;180.0;200.0;200.0;200.0;180.0;960.0
438.8;391.5;372.6;459.1;100.0;120.0;120.0;120.0;100.0;560.0
491.0;561.6;515.3;565.6;160.0;200.0;180.0;180.0;180.0;900.0
476.6;609.0;542.2;461.0;100.0;120.0;120.0;120.0;120.0;580.0
470.6;609.3;481.2;476.7;120.0;120.0;80.0;120.0;100.0;540.0
617.4;631.7;582.3;656.5;160.0;120.0;120.0;160.0;160.0;720.0
537.2;601.0;569.8;664.8;120.0;120.0;120.0;120.0;100.0;580.0
406.4;369.2;369.1;464.4;160.0;120.0;100.0;100.0;40.0;520.0
580.759581298839;637.3;591.4;668.9768615873629;120.0;180.0;120.0;160.0;140.0;720.0
360.0;427.0;412.9;514.5;140.0;140.0;120.0;120.0;100.0;620.0
524.2;536.2;546.5;679.4;120.0;160.0;120.0;120.0;160.0;680.0
500.3;421.2;471.2;474.7;120.0;200.0;100.0;120.0;80.0;620.0
402.6;467.7;494.3;446.6;160.0;200.0;160.0;180.0;140.0;840.0
437.0;440.3;384.3;417.8;120.0;120.0;80.0;120.0;60.0;500.0
511.5;364.1;474.4;397.3;120.0;160.0;120.0;180.0;160.0;740.0
461.9;498.5;551.9;605.6;120.0;180.0;120.0;120.0;120.0;660.0
416.1;339.8;445.0;384.8;160.0;200.0;160.0;160.0;200.0;880.0
542.9;557.8;499.2;622.2;120.0;120.0;120.0;120.0;100.0;580.0
505.8;609.4;555.9;613.9;140.0;180.0;120.0;100.0;120.0;660.0
407.9;501.9;540.6;428.5;100.0;120.0;120.0;120.0;40.0;500.0
399.4;497.2;480.9;441.1;100.0;100.0;100.0;80.0;0.0;380.0
487.0;368.0;462.4;543.8;120.0;180.0;140.0;120.0;180.0;740.0
434.1;490.6;494.8;663.2;140.0;160.0;140.0;160.0;200.0;800.0
458.9;454.8;428.5;407.1;100.0;120.0;100.0;120.0;60.0;500.0
527.6;554.0;505.4;463.6;120.0;120.0;120.0;140.0;100.0;600.0
561.0;598.0;564.3;516.3;120.0;140.0;120.0;120.0;140.0;640.0
643.9;666.5;590.5;662.8;140.0;200.0;160.0;180.0;160.0;840.0
445.7;516.7;517.4;432.9;120.0;120.0;120.0;120.0;80.0;560.0
451.2;406.2;381.5;500.8;100.0;120.0;120.0;120.0;80.0;540.0
616.6;630.4;531.1;515.6;160.0;180.0;180.0;200.0;200.0;920.0
495.9;547.7;543.6;530.8;160.0;200.0;180.0;200.0;180.0;920.0
444.5;452.6;466.9;418.4;120.0;140.0;80.0;120.0;140.0;600.0
377.3340238649283;417.5;441.5;468.60155392766296;80.0;120.0;100.0;80.0;120.0;500.0
430.8;459.5;567.7;585.4;120.0;160.0;100.0;120.0;140.0;640.0
515.6;452.0;515.7;435.3;120.0;200.0;140.0;120.0;200.0;780.0
475.5;506.5;531.3;599.4;140.0;200.0;140.0;180.0;200.0;860.0
389.5;507.6;530.8;611.0;160.0;160.0;160.0;160.0;200.0;840.0
482.2;491.8;415.9;445.7;120.0;120.0;120.0;120.0;120.0;600.0
491.6;583.9;582.0;620.2;120.0;120.0;120.0;120.0;160.0;640.0
359.7;467.8;478.1;457.9;100.0;140.0;120.0;140.0;100.0;600.0
569.4;494.2;551.0;486.8;80.0;120.0;120.0;160.0;140.0;620.0
600.0;686.3;544.7;684.7;140.0;160.0;140.0;140.0;160.0;740.0
535.4;536.2;463.8;539.8;160.0;200.0;140.0;180.0;200.0;880.0
352.2;401.1;480.5;454.6;80.0;60.0;60.0;100.0;0.0;300.0
367.7;397.2;304.2;446.3;80.0;80.0;80.0;100.0;40.0;380.0
600.1;621.9;572.5;664.1;120.0;200.0;140.0;160.0;200.0;820.0
454.9;614.3;535.8;568.7;160.0;200.0;180.0;160.0;200.0;900.0
397.7;522.2;484.9;409.5;120.0;120.0;100.0;120.0;0.0;460.0
421.0210572548309;400.2;411.1;473.93161499418443;80.0;120.0;100.0;100.0;100.0;500.0
587.2;495.4;564.6;649.6;140.0;140.0;120.0;140.0;200.0;740.0
526.6;524.1;504.4;424.9;0.0;0.0;0.0;0.0;0.0;0.0
406.9;601.1;503.0;467.6;120.0;140.0;120.0;160.0;140.0;680.0
373.4;525.4;525.0;628.5;120.0;120.0;100.0;120.0;120.0;580.0
630.5;664.2;613.8;703.1;160.0;160.0;140.0;200.0;200.0;860.0
436.503756429234;439.1;433.4;442.8454296406975;60.0;40.0;40.0;80.0;40.0;260.0
435.6;449.9;478.7;422.2;120.0;120.0;80.0;100.0;40.0;460.0
469.2;453.1;490.8;411.0;100.0;100.0;80.0;120.0;0.0;400.0
433.1;530.9;527.4;585.2;120.0;120.0;120.0;120.0;140.0;620.0
