;FAIXA ETÁRIA;SEXO;COR/RAÇA;SITUAÇÃO DE CONCLUSÃO;TIPO DE ESCOLA;LOCALIZAÇÃO DA ESCOLA;mun;NO_MUNICIPIO_PROVA;IDIOMA;STATUS DA REDAÇÃO;RENDA;INTERNET;NOTA_CN;NOTA_MT;NOTA_CH;NOTA_LC;NOTA_COMP1;NOTA_COMP2;NOTA_COMP3;NOTA_COMP4;NOTA_COMP5;NOTA_REDACAO;NOTAS;PRESENCA
67;17 anos;F;Parda;Estou cursando e concluirei o EM em 2021;Privada;Urbana;2611606;Recife;Espanhol;Sem problemas;2.0;Sim;480.7;631.7;584.3;549.2;140.0;120.0;140.0;160.0;160.0;720.0;593.1800000000001;4
68;Entre 26 e 30 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Inglês;Sem problemas;1.0;Sim;513.5;458.9;555.3;564.6;120.0;160.0;120.0;120.0;140.0;660.0;550.46;4
69;19 anos;F;Preta;Estou cursando e concluirei o EM em 2021;Público;Não Consta;2611606;Recife;Inglês;Sem problemas;0.5;Sim;437.0;580.6;513.6;472.4;100.0;120.0;120.0;120.0;80.0;540.0;508.71999999999997;4
70;17 anos;F;Branca;Estou cursando e concluirei o EM em 2021;Privada;Urbana;2611606;Recife;Inglês;Sem problemas;5.0;Sim;539.6;690.4;544.9;462.7;160.0;200.0;160.0;200.0;160.0;880.0;623.52;4
71;18 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2616407;Vitória de Santo Antão;Inglês;Sem problemas;1.0;Sim;499.8;608.6;592.6;607.7;160.0;200.0;160.0;200.0;200.0;920.0;645.74;4
72;20 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2611101;Petrolina;Espanhol;Sem problemas;1.0;Sim;406.5;587.4;512.2;494.8;160.0;200.0;180.0;200.0;180.0;920.0;584.1800000000001;4
73;19 anos;M;Preta;Já concluí o EM;Não respondeu;Não Consta;2603504;Camocim de São Félix;Inglês;Sem problemas;0.5;Sim;486.4;406.7;481.8;395.3;100.0;160.0;120.0;140.0;200.0;720.0;498.03999999999996;4
74;Entre 26 e 30 anos;M;Branca;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Inglês;Sem problemas;7.0;Sim;637.0;829.9;678.8;650.9;160.0;180.0;140.0;140.0;160.0;780.0;715.3199999999999;4
75;21 anos;M;Branca;Já concluí o EM;Não respondeu;Não Consta;2614600;Tabira;Inglês;Sem problemas;6.0;Sim;569.1;780.4;587.0;575.5;160.0;200.0;160.0;200.0;200.0;920.0;686.4;4
76;Entre 26 e 30 anos;M;Branca;Já concluí o EM;Não respondeu;Não Consta;2602209;Bom Jardim;Espanhol;Sem problemas;4.0;Sim;559.4;821.3;676.6;583.8;120.0;120.0;100.0;120.0;180.0;640.0;656.22;4
77;18 anos;M;Branca;Estou cursando e concluirei o EM em 2021;Público;Urbana;2611606;Recife;Inglês;Fuga ao tema;0.5;Sim;452.26075329735056;469.0144851103608;456.9;432.6;0.0;0.0;0.0;0.0;0.0;0.0;177.9;2
78;21 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2608909;Limoeiro;Inglês;Sem problemas;0.5;Sim;357.0;414.4;465.7;316.8;120.0;120.0;80.0;120.0;60.0;500.0;410.78000000000003;4
79;20 anos;M;Parda;Já concluí o EM;Não respondeu;Não Consta;2603454;Camaragibe;Espanhol;Sem problemas;0.5;Sim;382.7;560.3;553.4;572.7;100.0;40.0;100.0;120.0;120.0;480.0;509.82;4
80;18 anos;F;Parda;Estou cursando e concluirei o EM em 2021;Público;Não Consta;2600104;Afogados da Ingazeira;Inglês;Sem problemas;0.0;Sim;514.1;569.4;542.7;545.1;120.0;120.0;120.0;120.0;120.0;600.0;554.26;4
81;20 anos;F;Branca;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Espanhol;Sem problemas;1.0;Sim;511.7;700.4;694.4;608.0;160.0;200.0;200.0;180.0;180.0;920.0;686.9;4
82;18 anos;F;Parda;Estou cursando e concluirei o EM em 2021;Público;Urbana;2605004;Cupira;Inglês;Sem problemas;0.0;Não;506.1;356.6;525.8;460.1;120.0;160.0;120.0;120.0;180.0;700.0;509.71999999999997;4
83;Entre 41 e 45 anos;F;Parda;Estou cursando e concluirei o EM em 2021;Público;Não Consta;2607901;Jaboatão dos Guararapes;Espanhol;Sem problemas;0.5;Sim;390.11583554045103;412.7879060169403;390.4;370.6;60.0;100.0;40.0;80.0;20.0;300.0;212.2;2
84;19 anos;F;Preta;Já concluí o EM;Não respondeu;Não Consta;2611101;Petrolina;Inglês;Sem problemas;1.0;Sim;432.4131406332021;561.786085499753;504.4;573.1;120.0;160.0;120.0;80.0;80.0;560.0;327.5;2
85;20 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2615300;Timbaúba;Espanhol;Sem problemas;0.5;Sim;428.4;440.3;348.1;375.7;120.0;120.0;100.0;100.0;80.0;520.0;422.5;4
86;21 anos;F;Branca;Já concluí o EM;Não respondeu;Não Consta;2611101;Petrolina;Espanhol;Sem problemas;5.0;Sim;580.7;658.3;664.6;657.2;160.0;200.0;160.0;180.0;180.0;880.0;688.1600000000001;4
87;17 anos;F;Parda;Estou cursando e concluirei o EM em 2021;Público;Urbana;2611101;Petrolina;Espanhol;Sem problemas;1.5;Sim;580.7;553.7;592.0;533.1;120.0;200.0;120.0;160.0;200.0;800.0;611.9;4
88;23 anos;F;Preta;Já concluí o EM;Não respondeu;Não Consta;2611101;Petrolina;Espanhol;Sem problemas;0.0;Sim;469.6429039621687;586.9065860094031;601.9;483.8;120.0;160.0;120.0;120.0;120.0;640.0;345.14;6
89;17 anos;F;Branca;Estou cursando e concluirei o EM em 2021;Público;Urbana;2611606;Recife;Inglês;Em Branco;0.5;Sim;432.8;484.5;392.0;442.6;0.0;0.0;0.0;0.0;0.0;0.0;350.38;4
90;Entre 36 e 40 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Inglês;Sem problemas;1.0;Sim;432.9;408.0;536.8;469.0;100.0;140.0;100.0;120.0;120.0;580.0;485.34;4
91;17 anos;F;Branca;Estou cursando e concluirei o EM em 2021;Público;Urbana;2604106;Caruaru;Espanhol;Sem problemas;1.5;Sim;510.5;494.0;544.6;580.9;100.0;180.0;120.0;120.0;80.0;600.0;546.0;4
92;23 anos;F;Preta;Já concluí o EM;Não respondeu;Não Consta;2608909;Limoeiro;Espanhol;Sem problemas;2.5;Sim;364.8;554.3;381.5;405.9;160.0;200.0;180.0;200.0;160.0;900.0;521.3;4
93;18 anos;F;Branca;Estou cursando e concluirei o EM em 2021;Público;Urbana;2605202;Escada;Espanhol;Sem problemas;1.0;Sim;455.3;444.0;406.0;349.1;80.0;120.0;80.0;120.0;120.0;520.0;434.88;4
94;25 anos;M;Parda;Já concluí o EM;Não respondeu;Não Consta;2606408;Gravatá;Espanhol;Sem problemas;0.5;Sim;468.3;423.2;385.0;385.3;80.0;40.0;40.0;100.0;40.0;300.0;392.36;4
95;20 anos;M;Branca;Já concluí o EM;Não respondeu;Não Consta;2609006;Macaparana;Inglês;Sem problemas;1.0;Sim;543.2;465.0;544.5;565.8;120.0;140.0;120.0;140.0;140.0;660.0;555.7;4
96;22 anos;M;Branca;Já concluí o EM;Não respondeu;Não Consta;2609600;Olinda;Inglês;Sem problemas;1.5;Sim;450.9;602.4;544.5;518.9;140.0;200.0;140.0;120.0;160.0;760.0;575.3399999999999;4
97;18 anos;M;Branca;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Inglês;Sem problemas;5.0;Sim;499.8;474.4;508.6;547.5;160.0;200.0;140.0;180.0;160.0;840.0;574.0600000000001;4
98;18 anos;M;Branca;Estou cursando e concluirei o EM em 2021;Público;Urbana;2612208;Salgueiro;Espanhol;Sem problemas;0.5;Sim;428.6;466.1;481.9;502.7;120.0;120.0;100.0;120.0;140.0;600.0;495.86;4
99;Menor de 17 anos;F;Branca;Estou cursando e concluirei o EM em 2021;Privada;Urbana;2611606;Recife;Inglês;Sem problemas;4.0;Sim;527.3;517.2;542.9;530.2;120.0;180.0;120.0;140.0;140.0;700.0;563.52;4
100;17 anos;F;Não declarado;Estou cursando e concluirei o EM em 2021;Privada;Urbana;2607208;Ipojuca;Espanhol;Sem problemas;2.0;Sim;420.1;418.9;457.3;488.6;120.0;120.0;120.0;140.0;140.0;640.0;484.98;4
101;17 anos;M;Parda;Já concluí o EM;Não respondeu;Não Consta;2607653;Itambé;Inglês;Sem problemas;0.5;Sim;519.8;643.6;597.3;540.6;140.0;180.0;140.0;160.0;160.0;780.0;616.26;4
102;17 anos;M;Parda;Estou cursando e concluirei o EM em 2021;Público;Urbana;2611606;Recife;Espanhol;Sem problemas;1.5;Sim;467.3;457.9;519.5;545.6;100.0;120.0;120.0;100.0;80.0;520.0;502.06000000000006;4
103;18 anos;F;Branca;Já concluí o EM;Não respondeu;Não Consta;2601607;Belém do São Francisco;Inglês;Sem problemas;0.5;Sim;514.7;559.6;513.3;456.1;160.0;120.0;80.0;120.0;160.0;640.0;536.74;4
104;Entre 36 e 40 anos;F;Branca;Já concluí o EM;Não respondeu;Não Consta;2606408;Gravatá;Espanhol;Sem problemas;0.0;Sim;529.5;626.6;601.0;448.0;120.0;200.0;120.0;160.0;180.0;780.0;597.02;4
105;Entre 41 e 45 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2602902;Cabo de Santo Agostinho;Espanhol;Sem problemas;0.5;Não;372.0;490.4;404.2;421.8;60.0;120.0;80.0;100.0;0.0;360.0;409.68;4
106;18 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2601102;Araripina;Espanhol;Sem problemas;2.0;Sim;552.1;592.3;357.1;544.8;100.0;200.0;160.0;200.0;200.0;860.0;581.26;4
107;23 anos;M;Parda;Já concluí o EM;Não respondeu;Não Consta;2609501;Nazaré da Mata;Espanhol;Sem problemas;1.0;Sim;537.2;470.1;643.3;574.5;120.0;120.0;120.0;120.0;80.0;560.0;557.02;4
108;20 anos;F;Amarela;Já concluí o EM;Não respondeu;Não Consta;2613602;São José do Egito;Inglês;Sem problemas;0.5;Sim;444.0;629.1;575.2;551.5;120.0;120.0;120.0;120.0;160.0;640.0;567.96;4
109;17 anos;M;Parda;Estou cursando e concluirei o EM em 2021;Público;Urbana;2606408;Gravatá;Espanhol;Sem problemas;1.0;Sim;530.1;521.6;528.2;532.3;100.0;200.0;100.0;120.0;140.0;660.0;554.44;4
110;18 anos;M;Branca;Estou cursando e concluirei o EM em 2021;Público;Urbana;2615706;Triunfo;Inglês;Sem problemas;1.0;Sim;505.1;595.6;503.5;491.5;120.0;120.0;120.0;120.0;120.0;600.0;539.14;4
111;20 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2609600;Olinda;Inglês;Sem problemas;0.5;Sim;403.6;404.6;451.8;470.8;120.0;120.0;100.0;120.0;20.0;480.0;442.16;4
112;20 anos;M;Branca;Já concluí o EM;Não respondeu;Não Consta;2613008;São Bento do Una;Inglês;Sem problemas;1.0;Sim;517.2;553.9;561.1;467.2;100.0;160.0;100.0;120.0;180.0;660.0;551.88;4
113;20 anos;M;Preta;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Espanhol;Sem problemas;0.5;Sim;403.6;459.7;511.7;452.9;80.0;80.0;80.0;80.0;160.0;480.0;461.58000000000004;4
114;19 anos;M;Preta;Estou cursando e concluirei o EM em 2021;Público;Urbana;2616407;Vitória de Santo Antão;Inglês;Sem problemas;0.5;Sim;468.6;440.1;426.7;416.0;100.0;40.0;40.0;120.0;40.0;340.0;418.28000000000003;4
115;18 anos;F;Branca;Estou cursando e concluirei o EM em 2021;Público;Urbana;2602100;Bom Conselho;Espanhol;Sem problemas;0.5;Sim;441.8;477.3;575.1;509.5;140.0;120.0;100.0;100.0;140.0;600.0;520.74;4
116;18 anos;M;Branca;Estou cursando e concluirei o EM em 2021;Público;Urbana;2611606;Recife;Inglês;Sem problemas;1.0;Sim;573.8;533.7;573.6;540.4;140.0;120.0;140.0;160.0;200.0;760.0;596.3;4
117;19 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2607901;Jaboatão dos Guararapes;Espanhol;Sem problemas;0.0;Sim;453.3;458.7;399.1;335.9;100.0;40.0;40.0;100.0;40.0;320.0;393.4;4
118;18 anos;F;Parda;Estou cursando e concluirei o EM em 2021;Público;Urbana;2608750;Lagoa Grande;Espanhol;Sem problemas;1.5;Sim;408.3793683943966;423.9817610399942;417.0;405.6;120.0;120.0;100.0;120.0;0.0;460.0;256.52;2
119;18 anos;F;Amarela;Já concluí o EM;Não respondeu;Não Consta;2607901;Jaboatão dos Guararapes;Espanhol;Sem problemas;3.0;Sim;440.2;602.4;339.3;563.6;140.0;200.0;160.0;180.0;200.0;880.0;565.1;4
120;Entre 36 e 40 anos;F;Amarela;Já concluí o EM;Não respondeu;Não Consta;2611101;Petrolina;Espanhol;Sem problemas;0.5;Sim;406.2813788806969;476.8743083326855;402.2;386.9;80.0;120.0;80.0;120.0;80.0;480.0;253.82;2
121;18 anos;M;Não declarado;Estou cursando e concluirei o EM em 2021;Público;Rural;2611101;Petrolina;Inglês;Sem problemas;0.5;Sim;489.3;491.7;485.3;401.0;160.0;200.0;180.0;180.0;200.0;920.0;557.46;4
122;19 anos;M;Parda;Já concluí o EM;Não respondeu;Não Consta;2611101;Petrolina;Inglês;Sem problemas;3.0;Sim;467.6544364246959;471.52770871368;358.9;424.4;100.0;120.0;120.0;140.0;120.0;600.0;276.65999999999997;2
123;19 anos;F;Parda;Estou cursando e concluirei o EM em 2021;Público;Urbana;2611606;Recife;Espanhol;Sem problemas;2.0;Sim;407.3;431.4;433.5;515.2;80.0;120.0;80.0;100.0;0.0;380.0;433.48;4
124;18 anos;M;Branca;Já concluí o EM;Não respondeu;Não Consta;2609907;Ouricuri;Inglês;Sem problemas;4.0;Sim;679.0;759.3;682.8;578.1;160.0;160.0;160.0;200.0;200.0;880.0;715.8399999999999;4
125;21 anos;M;Amarela;Já concluí o EM;Não respondeu;Não Consta;2603009;Cabrobó;Espanhol;Sem problemas;0.5;Sim;511.0;511.8;571.6;469.4;120.0;140.0;120.0;100.0;120.0;600.0;532.76;4
126;18 anos;F;Parda;Estou cursando e concluirei o EM em 2021;Público;Não Consta;2613701;São Lourenço da Mata;Inglês;Sem problemas;0.5;Sim;420.8613169274818;550.2440097969161;438.3;430.1;120.0;120.0;120.0;120.0;100.0;580.0;289.68;2
127;Entre 26 e 30 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2605301;Exu;Inglês;Sem problemas;0.5;Sim;536.5;667.8;542.4;519.9;120.0;120.0;120.0;120.0;20.0;500.0;553.32;4
128;17 anos;F;Parda;Estou cursando e concluirei o EM em 2021;Público;Urbana;2607901;Jaboatão dos Guararapes;Inglês;Sem problemas;0.5;Sim;432.0;562.3;567.1;518.0;120.0;200.0;140.0;120.0;180.0;760.0;567.88;4
129;19 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2607653;Itambé;Espanhol;Sem problemas;0.0;Sim;427.2;468.7;479.1;396.9;120.0;120.0;100.0;120.0;120.0;580.0;470.38;4
130;18 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2603454;Camaragibe;Inglês;Sem problemas;2.5;Sim;569.0;615.0;609.6;627.5;140.0;180.0;120.0;140.0;100.0;680.0;620.22;4
131;19 anos;F;Branca;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Espanhol;Sem problemas;0.5;Sim;472.0806784041422;542.6817038403376;485.9;513.1;100.0;120.0;100.0;100.0;0.0;420.0;283.8;2
132;23 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Inglês;Sem problemas;0.5;Sim;608.2;452.1;681.9;594.7;160.0;200.0;180.0;200.0;180.0;920.0;651.38;4
133;20 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2601102;Araripina;Espanhol;Sem problemas;0.5;Não;398.6;428.7;507.2;346.4;100.0;120.0;100.0;120.0;100.0;540.0;444.18;4
134;18 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2610608;Paudalho;Inglês;Sem problemas;1.0;Sim;416.4;415.2;339.4;506.9;140.0;120.0;100.0;100.0;100.0;560.0;447.58000000000004;4
135;18 anos;M;Parda;Estou cursando e concluirei o EM em 2021;Público;Urbana;2615706;Triunfo;Espanhol;Sem problemas;0.5;Sim;443.3110226364541;433.6738031568483;0.0;0.0;120.0;120.0;120.0;120.0;140.0;620.0;124.0;2
136;Entre 31 e 35 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2610202;Panelas;Espanhol;Sem problemas;0.5;Sim;401.93528132896967;447.0477536828201;368.0;402.2;100.0;120.0;100.0;120.0;100.0;540.0;262.04;2
137;18 anos;F;Branca;Estou cursando e concluirei o EM em 2021;Público;Não Consta;2605202;Escada;Inglês;Sem problemas;0.0;Não;361.4;390.8;408.7;396.5;100.0;120.0;100.0;120.0;80.0;520.0;415.48;4
138;23 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2601706;Belo Jardim;Inglês;Sem problemas;0.5;Sim;410.8;387.5;492.4;408.8;120.0;120.0;120.0;120.0;100.0;580.0;455.9;4
139;19 anos;F;Branca;Já concluí o EM;Não respondeu;Não Consta;2602308;Bonito;Espanhol;Sem problemas;0.5;Sim;455.3;630.3;566.0;532.3;140.0;200.0;120.0;120.0;100.0;680.0;572.78;4
140;18 anos;M;Parda;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Inglês;Sem problemas;3.0;Sim;493.8;669.0;553.4;548.1;120.0;120.0;120.0;120.0;140.0;620.0;576.86;4
141;20 anos;M;Parda;Já concluí o EM;Não respondeu;Não Consta;2610707;Paulista;Inglês;Sem problemas;2.5;Sim;518.0;526.6;468.2;565.3;100.0;120.0;120.0;120.0;120.0;580.0;531.62;4
142;17 anos;F;Branca;Estou cursando e concluirei o EM em 2021;Público;Urbana;2609402;Moreno;Espanhol;Sem problemas;0.5;Sim;433.3399411627754;461.5080995627375;429.0;374.2;100.0;160.0;120.0;120.0;0.0;500.0;260.64;2
143;17 anos;F;Parda;Estou cursando e concluirei o EM em 2021;Público;Não Consta;2610707;Paulista;Inglês;Sem problemas;0.5;Sim;406.9;442.2;524.5;399.2;100.0;120.0;100.0;120.0;60.0;500.0;454.56000000000006;4
144;21 anos;M;Preta;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Inglês;Em Branco;0.5;Sim;395.88819976374526;400.394522705412;416.1;400.7;0.0;0.0;0.0;0.0;0.0;0.0;163.35999999999999;2
145;17 anos;F;Parda;Estou cursando e concluirei o EM em 2021;Público;Não Consta;2604007;Carpina;Inglês;Sem problemas;0.5;Sim;436.3;569.6;552.0;550.7;120.0;120.0;100.0;120.0;140.0;600.0;541.72;4
146;Entre 36 e 40 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2613701;São Lourenço da Mata;Espanhol;Sem problemas;1.5;Não;458.39942548376894;529.5479514774577;523.3;413.6;120.0;120.0;120.0;140.0;120.0;620.0;311.38;2
147;17 anos;F;Parda;Estou cursando e concluirei o EM em 2021;Público;Urbana;2613602;São José do Egito;Espanhol;Sem problemas;0.5;Sim;525.0;437.5;583.7;511.8;140.0;200.0;160.0;160.0;140.0;800.0;571.6;4
148;22 anos;M;Parda;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Espanhol;Sem problemas;2.0;Sim;587.9;671.7;526.4;537.8;120.0;120.0;140.0;120.0;100.0;600.0;584.76;4
149;18 anos;M;Parda;Já concluí o EM;Não respondeu;Não Consta;2611101;Petrolina;Inglês;Sem problemas;2.5;Sim;427.8;472.6;501.0;520.7;80.0;120.0;100.0;80.0;120.0;500.0;484.41999999999996;4
150;18 anos;F;Branca;Estou cursando e concluirei o EM em 2021;Público;Urbana;2601201;Arcoverde;Espanhol;Cópia Texto Motivador;0.5;Sim;445.6660351822078;437.5752119908884;444.9;395.2;0.0;0.0;0.0;0.0;0.0;0.0;168.01999999999998;2
151;18 anos;M;Parda;Já concluí o EM;Não respondeu;Não Consta;2607901;Jaboatão dos Guararapes;Inglês;Sem problemas;5.0;Sim;619.6;645.0;500.1;536.3;120.0;180.0;120.0;120.0;100.0;640.0;588.2;4
152;18 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2609006;Macaparana;Espanhol;Sem problemas;3.0;Sim;460.9;374.2;375.7;454.6;120.0;120.0;120.0;120.0;100.0;580.0;449.08000000000004;4
153;Entre 26 e 30 anos;M;Parda;Estou cursando e concluirei o EM em 2021;Público;Não Consta;2613909;Serra Talhada;Inglês;Sem problemas;0.0;Sim;516.0;484.0;572.6;505.9;140.0;120.0;120.0;160.0;140.0;680.0;551.7;4
154;17 anos;F;Parda;Estou cursando e concluirei o EM em 2021;Público;Não Consta;2604106;Caruaru;Inglês;Sem problemas;1.0;Sim;466.2;542.0;443.3;471.7;120.0;120.0;100.0;100.0;140.0;580.0;500.64;4
155;Entre 26 e 30 anos;M;Parda;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Inglês;Sem problemas;1.0;Sim;570.4;687.0;604.9;558.3;140.0;180.0;140.0;140.0;160.0;760.0;636.12;4
156;Entre 26 e 30 anos;M;Parda;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Espanhol;Sem problemas;0.5;Não;384.5;425.1;409.5;387.9;60.0;120.0;80.0;100.0;120.0;480.0;417.4;4
157;19 anos;F;Preta;Já concluí o EM;Não respondeu;Não Consta;2603454;Camaragibe;Espanhol;Sem problemas;0.5;Não;433.3;409.1;428.7;452.0;100.0;100.0;80.0;80.0;0.0;360.0;416.62;4
158;17 anos;M;Amarela;Estou cursando e concluirei o EM em 2021;Público;Urbana;2612505;Santa Cruz do Capibaribe;Inglês;Sem problemas;1.0;Sim;575.5;569.8;624.4;572.7;160.0;200.0;140.0;160.0;160.0;820.0;632.48;4
159;20 anos;M;Preta;Já concluí o EM;Não respondeu;Não Consta;2610707;Paulista;Inglês;Sem problemas;1.0;Sim;485.2;524.6;495.9;537.7;120.0;120.0;100.0;100.0;0.0;440.0;496.68;4
160;18 anos;F;Não declarado;Já concluí o EM;Não respondeu;Não Consta;2611101;Petrolina;Inglês;Sem problemas;12.0;Sim;695.8;806.4;674.7;589.6;180.0;200.0;200.0;200.0;180.0;960.0;745.3;4
161;18 anos;M;Não declarado;Estou cursando e concluirei o EM em 2021;Público;Urbana;2607901;Jaboatão dos Guararapes;Inglês;Sem problemas;0.0;Sim;438.8;459.1;391.5;372.6;100.0;120.0;120.0;120.0;100.0;560.0;444.4;4
162;18 anos;M;Indígena;Estou cursando e concluirei o EM em 2021;Privada;Urbana;2611606;Recife;Espanhol;Sem problemas;0.0;Não;491.0;565.6;561.6;515.3;160.0;200.0;180.0;180.0;180.0;900.0;606.7;4
163;19 anos;F;Branca;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Inglês;Sem problemas;0.5;Não;476.6;461.0;609.0;542.2;100.0;120.0;120.0;120.0;120.0;580.0;533.76;4
164;22 anos;M;Parda;Já concluí o EM;Não respondeu;Não Consta;2607208;Ipojuca;Espanhol;Sem problemas;0.5;Sim;470.6;476.7;609.3;481.2;120.0;120.0;80.0;120.0;100.0;540.0;515.5600000000001;4
165;18 anos;F;Branca;Já concluí o EM;Não respondeu;Não Consta;2607901;Jaboatão dos Guararapes;Inglês;Sem problemas;8.0;Sim;617.4;656.5;631.7;582.3;160.0;120.0;120.0;160.0;160.0;720.0;641.58;4
166;Entre 26 e 30 anos;M;Preta;Já concluí o EM;Não respondeu;Não Consta;2600054;Abreu e Lima;Inglês;Sem problemas;0.5;Sim;537.2;664.8;601.0;569.8;120.0;120.0;120.0;120.0;100.0;580.0;590.5600000000001;4
167;22 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2613909;Serra Talhada;Inglês;Sem problemas;0.5;Sim;406.4;464.4;369.2;369.1;160.0;120.0;100.0;100.0;40.0;520.0;425.82;4
168;20 anos;F;Branca;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Inglês;Sem problemas;0.5;Sim;580.759581298839;668.9768615873629;637.3;591.4;120.0;180.0;120.0;160.0;140.0;720.0;389.74;2
169;20 anos;M;Preta;Já concluí o EM;Não respondeu;Não Consta;2608909;Limoeiro;Espanhol;Sem problemas;0.5;Sim;360.0;514.5;427.0;412.9;140.0;140.0;120.0;120.0;100.0;620.0;466.88;4
170;18 anos;M;Branca;Já concluí o EM;Não respondeu;Não Consta;2616407;Vitória de Santo Antão;Inglês;Sem problemas;0.5;Sim;524.2;679.4;536.2;546.5;120.0;160.0;120.0;120.0;160.0;680.0;593.26;4
171;Entre 56 e 60 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Inglês;Sem problemas;2.0;Sim;500.3;474.7;421.2;471.2;120.0;200.0;100.0;120.0;80.0;620.0;497.48;4
172;17 anos;M;Parda;Estou cursando e concluirei o EM em 2021;Público;Urbana;2611606;Recife;Inglês;Sem problemas;1.0;Sim;402.6;446.6;467.7;494.3;160.0;200.0;160.0;180.0;140.0;840.0;530.24;4
173;22 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2607901;Jaboatão dos Guararapes;Espanhol;Sem problemas;1.5;Sim;437.0;417.8;440.3;384.3;120.0;120.0;80.0;120.0;60.0;500.0;435.88;4
174;17 anos;F;Indígena;Estou cursando e concluirei o EM em 2021;Público;Não Consta;2613107;São Caitano;Espanhol;Sem problemas;0.5;Sim;511.5;397.3;364.1;474.4;120.0;160.0;120.0;180.0;160.0;740.0;497.46000000000004;4
175;18 anos;M;Parda;Estou cursando e concluirei o EM em 2021;Público;Urbana;2611606;Recife;Inglês;Sem problemas;1.0;Sim;461.9;605.6;498.5;551.9;120.0;180.0;120.0;120.0;120.0;660.0;555.58;4
176;19 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2601706;Belo Jardim;Espanhol;Sem problemas;0.5;Sim;416.1;384.8;339.8;445.0;160.0;200.0;160.0;160.0;200.0;880.0;493.14;4
177;19 anos;M;Branca;Estou cursando e concluirei o EM em 2021;Público;Urbana;2611606;Recife;Inglês;Sem problemas;2.5;Sim;542.9;622.2;557.8;499.2;120.0;120.0;120.0;120.0;100.0;580.0;560.42;4
178;Entre 41 e 45 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2607901;Jaboatão dos Guararapes;Inglês;Sem problemas;1.0;Sim;505.8;613.9;609.4;555.9;140.0;180.0;120.0;100.0;120.0;660.0;589.0;4
179;21 anos;F;Branca;Já concluí o EM;Não respondeu;Não Consta;2600708;Aliança;Espanhol;Sem problemas;0.5;Sim;407.9;428.5;501.9;540.6;100.0;120.0;120.0;120.0;40.0;500.0;475.78000000000003;4
180;Entre 31 e 35 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2609402;Moreno;Espanhol;Sem problemas;1.5;Sim;399.4;441.1;497.2;480.9;100.0;100.0;100.0;80.0;0.0;380.0;439.71999999999997;4
181;17 anos;F;Branca;Estou cursando e concluirei o EM em 2021;Público;Urbana;2604007;Carpina;Inglês;Sem problemas;0.5;Sim;487.0;543.8;368.0;462.4;120.0;180.0;140.0;120.0;180.0;740.0;520.24;4
182;18 anos;F;Branca;Estou cursando e concluirei o EM em 2021;Público;Rural;2601409;Barreiros;Inglês;Sem problemas;0.5;Sim;434.1;663.2;490.6;494.8;140.0;160.0;140.0;160.0;200.0;800.0;576.54;4
183;18 anos;F;Preta;Estou cursando e concluirei o EM em 2021;Público;Não Consta;2602902;Cabo de Santo Agostinho;Espanhol;Sem problemas;1.0;Sim;458.9;407.1;454.8;428.5;100.0;120.0;100.0;120.0;60.0;500.0;449.86;4
