;FAIXA ETÁRIA;SEXO;COR/RAÇA;SITUAÇÃO DE CONCLUSÃO;TIPO DE ESCOLA;LOCALIZAÇÃO DA ESCOLA;mun;NO_MUNICIPIO_PROVA;IDIOMA;STATUS DA REDAÇÃO;RENDA;INTERNET;NOTA_CN;NOTA_MT;NOTA_CH;NOTA_LC;NOTA_COMP1;NOTA_COMP2;NOTA_COMP3;NOTA_COMP4;NOTA_COMP5;NOTA_REDACAO;NOTAS;PRESENCA
973;17 anos;F;Amarela;Estou cursando e concluirei o EM em 2021;Público;Não Consta;2603009;Cabrobó;Espanhol;Sem problemas;0.5;Sim;398.2;382.9;390.6;403.0;120.0;120.0;80.0;120.0;80.0;520.0;418.93999999999994;4
974;18 anos;F;Preta;Estou cursando e concluirei o EM em 2021;Público;Não Consta;2609402;Moreno;Espanhol;Sem problemas;0.5;Sim;396.2;429.9;477.6;497.3;160.0;120.0;120.0;160.0;180.0;740.0;508.2;4
975;22 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Inglês;Sem problemas;1.5;Sim;601.7;682.3;617.3;556.9;140.0;200.0;180.0;180.0;200.0;900.0;671.64;4
976;17 anos;F;Branca;Estou cursando e concluirei o EM em 2021;Privada;Urbana;2611606;Recife;Inglês;Sem problemas;21.0;Sim;643.3;767.1;604.0;561.8;140.0;200.0;160.0;160.0;200.0;860.0;687.24;4
977;17 anos;F;Preta;Estou cursando e concluirei o EM em 2021;Público;Não Consta;2612208;Salgueiro;Inglês;Sem problemas;2.0;Sim;551.8;681.4;653.5;607.1;140.0;200.0;140.0;160.0;160.0;800.0;658.76;4
978;20 anos;F;Branca;Estou cursando e concluirei o EM em 2021;Público;Urbana;2609600;Olinda;Inglês;Sem problemas;0.5;Sim;451.4;428.5;448.0;454.1;140.0;100.0;120.0;140.0;100.0;600.0;476.4;4
979;Entre 36 e 40 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2611101;Petrolina;Inglês;Sem problemas;0.0;Não;426.5;428.6;497.8;387.9;100.0;100.0;60.0;80.0;80.0;420.0;432.16;4
980;19 anos;M;Branca;Estou cursando e concluirei o EM em 2021;Público;Urbana;2611606;Recife;Inglês;Sem problemas;6.0;Sim;622.3;728.2;613.4;642.4;160.0;200.0;180.0;180.0;180.0;900.0;701.26;4
981;19 anos;M;Parda;Já concluí o EM;Não respondeu;Não Consta;2612604;Santa Maria da Boa Vista;Inglês;Sem problemas;1.0;Sim;406.7;500.2;384.4;463.7;100.0;120.0;100.0;100.0;100.0;520.0;455.0;4
982;17 anos;M;Parda;Estou cursando e concluirei o EM em 2021;Público;Não Consta;2602605;Brejo da Madre de Deus;Espanhol;Sem problemas;0.5;Não;487.0;641.5;553.4;520.8;100.0;120.0;100.0;120.0;0.0;440.0;528.54;4
