NU_INSCRICAO;FAIXA ETÁRIA;SEXO;COR/RAÇA;SITUAÇÃO DE CONCLUSÃO;TIPO DE ESCOLA;LOCALIZAÇÃO DA ESCOLA;NO_MUNICIPIO_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;NOTA_CN;NOTA_CH;NOTA_LC;NOTA_MT;IDIOMA;STATUS DA REDAÇÃO;NOTA_COMP1;NOTA_COMP2;NOTA_COMP3;NOTA_COMP4;NOTA_COMP5;NOTA_REDACAO;RENDA;INTERNET;PRESENCA;NOTAS
210051643125;19 anos;F;Branca;Já concluí o EM;Não respondeu;Não Consta;Recife;0;1;1;0;;463.4;458.4;;Inglês;Sem problemas;100.0;140.0;100.0;120.0;100.0;560.0;De R$ 1.996,01 até R$ 2.495,00;Sim;2;1481.8
210053275423;Entre 31 e 35 anos;M;Parda;Já concluí o EM;Não respondeu;Não Consta;Jaboatão dos Guararapes;0;1;1;0;;399.0;392.9;;Espanhol;Sem problemas;120.0;120.0;120.0;120.0;120.0;600.0;Até R$ 998,00;Sim;2;1391.9
210051614156;Entre 36 e 40 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;Paulista;1;1;1;1;450.8;530.2;331.9;544.7;Inglês;Sem problemas;100.0;120.0;120.0;120.0;80.0;540.0;Até R$ 998,00;Não;4;2397.6000000000004
210052300060;22 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;Recife;1;1;1;1;648.0;686.6;696.2;666.1;Espanhol;Sem problemas;180.0;200.0;180.0;200.0;160.0;920.0;De R$ 998,01 até R$ 1.497,00;Sim;4;3616.9
210051140388;19 anos;M;Preta;Já concluí o EM;Não respondeu;Não Consta;Petrolina;1;1;1;1;356.2;544.7;481.8;555.1;Inglês;Sem problemas;140.0;200.0;120.0;160.0;160.0;780.0;De R$ 998,01 até R$ 1.497,00;Sim;4;2717.8
210052825288;18 anos;M;Parda;Estou cursando e concluirei o EM em 2021;Público;Rural;Panelas;1;1;1;1;491.5;394.9;478.0;552.4;Inglês;Sem problemas;120.0;160.0;120.0;140.0;180.0;720.0;De R$ 1.497,01 até R$ 1.996,00;Sim;4;2636.8
210052266137;Menor de 17 anos;F;Branca;Estou cursando e concluirei o EM em 2021;Privada;Urbana;Caruaru;1;1;1;1;511.9;570.2;565.7;637.2;Inglês;Sem problemas;160.0;200.0;120.0;160.0;200.0;840.0;De R$ 1.497,01 até R$ 1.996,00;Sim;4;3125.0
210052030846;18 anos;F;Branca;Estou cursando e concluirei o EM em 2021;Privada;Urbana;Recife;1;1;1;1;621.8;661.8;636.5;719.6;Inglês;Sem problemas;160.0;200.0;160.0;200.0;200.0;920.0;De R$ 3.992,01 até R$ 4.990,00;Sim;4;3559.7
210053774382;18 anos;F;Preta;Já concluí o EM;Não respondeu;Não Consta;Olinda;1;1;1;1;389.1;466.3;478.2;467.4;Espanhol;Sem problemas;140.0;140.0;120.0;120.0;100.0;620.0;De R$ 998,01 até R$ 1.497,00;Sim;4;2421.0
210051956771;18 anos;F;Preta;Já concluí o EM;Não respondeu;Não Consta;Petrolina;1;1;1;1;446.2;495.9;517.3;482.6;Inglês;Sem problemas;120.0;120.0;120.0;160.0;120.0;640.0;Até R$ 998,00;Sim;4;2582.0
210053359977;20 anos;M;Parda;Já concluí o EM;Não respondeu;Não Consta;Recife;1;1;1;1;467.4;653.2;499.6;600.4;Espanhol;Sem problemas;140.0;200.0;140.0;180.0;160.0;820.0;De R$ 6.986,01 até R$ 7.984,00;Sim;4;3040.6
210054261426;18 anos;M;Parda;Já concluí o EM;Não respondeu;Não Consta;Bezerros;1;1;1;1;551.0;512.7;419.3;508.4;Inglês;Sem problemas;160.0;200.0;180.0;160.0;160.0;860.0;De R$ 2.495,01 até R$ 2.994,00;Sim;4;2851.4
210053389643;18 anos;F;Branca;Estou cursando e concluirei o EM em 2021;Privada;Urbana;Recife;1;1;1;1;448.5;553.3;491.6;481.3;Espanhol;Sem problemas;100.0;180.0;120.0;120.0;180.0;700.0;De R$ 2.495,01 até R$ 2.994,00;Sim;4;2674.7
210053753180;Entre 31 e 35 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;Moreno;1;1;1;1;441.3;533.1;462.5;440.6;Espanhol;Sem problemas;120.0;120.0;80.0;120.0;100.0;540.0;De R$ 998,01 até R$ 1.497,00;Sim;4;2417.5
210051399374;Entre 26 e 30 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;Recife;1;1;1;1;452.0;481.2;498.5;427.1;Espanhol;Sem problemas;80.0;120.0;100.0;120.0;160.0;580.0;Até R$ 998,00;Sim;4;2438.8
210051030732;19 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;Serra Talhada;1;1;1;1;528.9;487.7;388.8;374.7;Inglês;Sem problemas;120.0;120.0;120.0;140.0;160.0;660.0;Nenhuma renda;Sim;4;2440.1
